ticker,date,open,high,low,close,volume,daily_return
POLI.TA,2010-01-01,1642.064208984375,1642.064208984375,1642.064208984375,1642.064208984375,0,
POLI.TA,2010-01-04,1655.5338632982357,1678.9749977210436,1655.5338632982357,1663.3475341796875,5343798,0.012961323362913113
POLI.TA,2010-01-05,1664.324225854219,1678.9749036025862,1652.603659299836,1670.1844482421875,6421199,0.00411033408353334
POLI.TA,2010-01-06,1670.184149298653,1673.1143817466059,1629.1621128115567,1645.766357421875,8747080,-0.014619996519553147
POLI.TA,2010-01-07,1627.2091560380043,1635.02294921875,1601.8145717575035,1635.02294921875,7613489,-0.006527906075291745
POLI.TA,2010-01-11,1643.8130294166583,1655.533594726675,1611.5813225910708,1629.1622314453125,14801844,-0.003584486551848065
POLI.TA,2010-01-12,1606.6980931400653,1626.2323320673352,1569.5828199770276,1583.2568359375,8274659,-0.02817730157363607
POLI.TA,2010-01-13,1582.2798148550796,1601.8141711429296,1573.4893606144688,1589.1168212890625,5860092,0.0037012222013192986
POLI.TA,2010-01-14,1589.1172321121242,1593.0241287354022,1548.0951829030912,1574.4664306640625,9131638,-0.009219203037015178
POLI.TA,2010-01-18,1588.140323444848,1601.8143377349397,1577.396420280221,1591.0704345703125,3247932,0.010545797346245722
POLI.TA,2010-01-19,1583.256540852667,1596.9305542645982,1550.0482921542255,1575.44287109375,4427192,-0.00982204378700735
POLI.TA,2010-01-20,1575.4431082069045,1590.0937868767978,1562.7457559369007,1569.582763671875,4524954,-0.003719657202045479
POLI.TA,2010-01-21,1569.5828199770276,1594.0008621930315,1562.7458119967916,1583.2568359375,4584597,0.008711915409695292
POLI.TA,2010-01-25,1554.9317787666957,1576.419460939682,1551.0250049578808,1566.65234375,5384718,-0.010487554394589371
POLI.TA,2010-01-26,1545.164695334884,1567.62916455517,1539.3044731425566,1562.74560546875,4534368,-0.002493685530702172
POLI.TA,2010-01-27,1556.8855623948543,1576.4198009879333,1534.4210905900488,1559.815673828125,4655265,-0.0018748615452008899
POLI.TA,2010-01-28,1575.4431076310166,1586.18701171875,1562.7457553656543,1586.18701171875,16163681,0.016906701434730387
POLI.TA,2010-02-01,1548.0948486328125,1567.6290839743751,1532.467387292501,1548.0948486328125,6950313,-0.024014925607455218
POLI.TA,2010-02-02,1562.745677378065,1567.6292366892008,1546.141551364514,1554.9320068359375,3917856,0.004416498258593915
POLI.TA,2010-02-03,1563.7224128889957,1580.32666015625,1555.9086208153597,1580.32666015625,5207597,0.016331680876507937
POLI.TA,2010-02-04,1571.5360605356832,1575.442956516196,1555.9085983920734,1562.74560546875,2754569,-0.011124949752959079
POLI.TA,2010-02-05,1596.1741943359375,1596.1741943359375,1596.1741943359375,1596.1741943359375,0,0.02139093448748519
POLI.TA,2010-02-08,1535.397322028013,1553.9548921841103,1506.0958506000195,1523.6767578125,6127898,-0.04541950169392317
POLI.TA,2010-02-09,1526.606828667824,1538.327392578125,1506.0958113801926,1538.327392578125,4824046,0.009615316825242193
POLI.TA,2010-02-10,1548.0948486328125,1555.9085184137505,1537.3509461278916,1548.0948486328125,5840043,0.006349400070369882
POLI.TA,2010-02-11,1556.8853248710222,1567.6291057467247,1549.071533203125,1549.071533203125,3476803,0.0006308945289592582
POLI.TA,2010-02-15,1552.9784030915148,1581.3030929683289,1545.1646115541623,1575.44287109375,4104559,0.017023963919919893
POLI.TA,2010-02-16,1583.2565424710233,1603.767562609886,1580.3265533091744,1592.0469970703125,3421059,0.010539338671820664
POLI.TA,2010-02-17,1610.6047584077355,1614.5117764175245,1575.4430576610332,1578.3731689453125,7797238,-0.008588834469185014
POLI.TA,2010-02-18,1568.6058643877843,1579.3497668624261,1558.838746744529,1575.44287109375,2937624,-0.001856530451237015
POLI.TA,2010-02-22,1592.0469970703125,1592.0469970703125,1592.0469970703125,1592.0469970703125,6536,0.010539338671820664
POLI.TA,2010-02-23,1576.41943359375,1576.41943359375,1576.41943359375,1576.41943359375,3268,-0.009816018939968751
POLI.TA,2010-02-24,1552.9781494140625,1552.9781494140625,1552.9781494140625,1552.9781494140625,64472,-0.01486995382075984
POLI.TA,2010-02-25,1532.46728515625,1532.46728515625,1532.46728515625,1532.46728515625,122491,-0.013207439052217995
POLI.TA,2010-03-01,1572.5128173828125,1572.5128173828125,1572.5128173828125,1572.5128173828125,15956,0.02613141083953341
POLI.TA,2010-03-02,1582.2796630859375,1582.2796630859375,1582.2796630859375,1582.2796630859375,5471,0.006210980028372948
POLI.TA,2010-03-03,1575.44287109375,1575.44287109375,1575.44287109375,1575.44287109375,4,-0.004320849311084229
POLI.TA,2010-03-04,1610.604248046875,1610.604248046875,1610.604248046875,1610.604248046875,75080,0.02231840811131036
POLI.TA,2010-03-05,1645.05712890625,1645.05712890625,1645.05712890625,1645.05712890625,0,0.02139127653559525
POLI.TA,2010-03-08,1576.41943359375,1576.41943359375,1576.41943359375,1576.41943359375,0,-0.04172359373205181
POLI.TA,2010-03-09,1576.41943359375,1576.41943359375,1576.41943359375,1576.41943359375,0,0.0
POLI.TA,2010-03-10,1601.8143310546875,1601.8143310546875,1601.8143310546875,1601.8143310546875,0,0.016109226338985705
POLI.TA,2010-03-11,1608.6514892578125,1608.6514892578125,1608.6514892578125,1608.6514892578125,0,0.004268383713749824
POLI.TA,2010-03-15,1574.4664306640625,1574.4664306640625,1574.4664306640625,1574.4664306640625,0,-0.02125075494725215
POLI.TA,2010-03-16,1587.1636962890625,1587.1636962890625,1587.1636962890625,1587.1636962890625,0,0.00806448799270032
POLI.TA,2010-03-17,1618.418701171875,1618.418701171875,1618.418701171875,1618.418701171875,0,0.019692363778159416
POLI.TA,2010-03-18,1586.18701171875,1586.18701171875,1586.18701171875,1586.18701171875,0,-0.019915544370431748
POLI.TA,2010-03-22,1553.955078125,1553.955078125,1553.955078125,1553.955078125,0,-0.020320386786438438
POLI.TA,2010-03-23,1575.44287109375,1575.44287109375,1575.44287109375,1575.44287109375,0,0.013827808326787094
POLI.TA,2010-03-24,1602.790771484375,1602.790771484375,1602.790771484375,1602.790771484375,0,0.01735886517524987
POLI.TA,2010-03-25,1607.6746826171875,1607.6746826171875,1607.6746826171875,1607.6746826171875,0,0.0030471295565854817
POLI.TA,2010-03-31,1601.8143310546875,1601.8143310546875,1601.8143310546875,1601.8143310546875,0,-0.0036452347143762776
POLI.TA,2010-04-01,1612.557861328125,1612.557861328125,1612.557861328125,1612.557861328125,0,0.00670710085754056
POLI.TA,2010-04-02,1647.052734375,1647.052734375,1647.052734375,1647.052734375,0,0.021391401743851013
POLI.TA,2010-04-06,1626.23193359375,1626.23193359375,1626.23193359375,1626.23193359375,0,-0.012641247208851958
POLI.TA,2010-04-07,1620.37158203125,1620.37158203125,1620.37158203125,1620.37158203125,0,-0.0036036382273895162
POLI.TA,2010-04-08,1592.0469970703125,1592.0469970703125,1592.0469970703125,1592.0469970703125,0,-0.017480302218970456
POLI.TA,2010-04-09,1626.1026611328125,1626.1026611328125,1626.1026611328125,1626.1026611328125,0,0.021391117300663343
POLI.TA,2010-04-12,1581.3033447265625,1581.3033447265625,1581.3033447265625,1581.3033447265625,0,-0.02755011567045884
POLI.TA,2010-04-13,1572.5128173828125,1572.5128173828125,1572.5128173828125,1572.5128173828125,0,-0.005559039240045416
POLI.TA,2010-04-14,1575.44287109375,1575.44287109375,1575.44287109375,1575.44287109375,0,0.0018632940085119287
POLI.TA,2010-04-15,1552.9781494140625,1552.9781494140625,1552.9781494140625,1552.9781494140625,0,-0.014259305806557987
POLI.TA,2010-04-21,1552.9783258195316,1560.7919951896617,1528.5604111479274,1533.4439697265625,5181209,-0.012578528355257412
POLI.TA,2010-04-22,1528.5602762826106,1546.1411830372715,1526.606828667824,1538.327392578125,5202129,0.0031846112071727273
POLI.TA,2010-04-23,1571.234130859375,1571.234130859375,1571.234130859375,1571.234130859375,0,0.021391245088667743
POLI.TA,2010-04-26,1563.722383021182,1568.6059420847043,1548.0949209508458,1556.8853759765625,3716444,-0.00913215580097193
POLI.TA,2010-04-27,1548.0947672408968,1556.8852213938114,1532.4673067222072,1533.4439697265625,4908478,-0.015056603788378586
POLI.TA,2010-04-28,1513.909825494252,1525.6303911360708,1499.2590271081506,1510.0029296875,5872245,-0.015286531821076199
POLI.TA,2010-04-29,1484.6080710186711,1497.3052973326696,1469.957275390625,1469.957275390625,18416182,-0.026520249404524354
POLI.TA,2010-04-30,1501.4013671875,1501.4013671875,1501.4013671875,1501.4013671875,0,0.02139116035771793
POLI.TA,2010-05-03,1476.7944985289112,1489.491848492683,1456.2834790494246,1479.724609375,7091020,-0.014437683544344937
POLI.TA,2010-05-04,1479.7246270187811,1498.282320674439,1447.4930419921875,1447.4930419921875,9367923,-0.021782139175495874
POLI.TA,2010-05-05,1435.772216796875,1474.8408013262494,1430.8885371745935,1435.772216796875,9720392,-0.008097327486411343
POLI.TA,2010-05-06,1435.7723773260575,1465.0738494437962,1426.005260546286,1448.4697265625,7622296,0.008843679810125016
POLI.TA,2010-05-07,1479.4542236328125,1479.4542236328125,1479.4542236328125,1479.4542236328125,0,0.021391194100994326
POLI.TA,2010-05-10,1469.9574040293037,1503.165771484375,1468.9807410652243,1503.165771484375,7656538,0.016027226441206466
POLI.TA,2010-05-11,1478.7483729074463,1486.5621664555345,1460.1907958984375,1460.1907958984375,6528686,-0.028589644868975306
POLI.TA,2010-05-12,1461.1669502388902,1517.816446616115,1458.236839568227,1503.165771484375,6922581,0.029431068670375815
POLI.TA,2010-05-13,1521.7234193426912,1523.6768671485224,1467.027367893136,1484.6082763671875,6754772,-0.01234560782930949
POLI.TA,2010-05-14,1516.36572265625,1516.36572265625,1516.36572265625,1516.36572265625,0,0.021391128417236338
